ImageNumber,Texture_DifferenceVariance_OrigRNA_10_03_256,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Perimeter,Intensity_MeanIntensity_OrigRNA,Intensity_IntegratedIntensity_OrigRNA,Granularity_5_OrigRNA,RadialDistribution_FracAtD_OrigRNA_4of4
1,0.00040289028075046307,4794.952380952381,2.188303572064296,0.7228120818781828,342.5140614707165,0.09670706346200522,399.20751817826005,2.499005342426614,0.3990291582857143
2,0.00045082473823461754,6773.139393939394,2.0992499984509387,0.7336689826197571,376.43027282565527,0.10847575282144528,603.8303675404552,2.373040402285641,0.44374420654545454
3,0.00046872387737889566,6266.45045045045,2.3718541921659657,0.7318304608181389,399.92290639708506,0.08083618844085358,453.1560629416039,2.633960899789247,0.41451591288288286
4,0.00038055285210070676,5079.673913043478,2.3060873331722207,0.7691401631141765,366.4460871807029,0.08666115926047468,395.4359021692577,3.2081934254935947,0.41122594347826086
5,0.0005104268999347633,7910.912280701755,2.2185263966066735,0.7329134644262715,431.3540875790913,0.08636318496754421,590.3147397698883,2.454651313357526,0.4362152342105263
6,0.00040227947381020165,4545.075757575758,2.4173568658697797,0.7364018774246055,355.06454782537094,0.10589318277087381,414.0373853661515,2.22993264186672,0.41888897090909094
7,0.00045690690892991894,5267.648648648648,2.109886560142296,0.6959942566572298,350.6291883589337,0.08551755652111943,396.21548556611947,2.304136182072643,0.37629884459459456
8,0.0004550705009415341,6013.245901639344,2.353106984738494,0.7420818470932672,390.30157697448857,0.09216791287103868,447.50274498536265,2.7068033038627024,0.41371654901639343
9,0.00046615825368494213,6228.9672131147545,2.35008677069905,0.7306256359589434,394.61479995346883,0.08819563503958476,479.10866049318344,2.3910581544110436,0.4068315006557377
10,0.0004140982198724527,4170.923076923077,2.160685778720152,0.723553297465051,317.03599877840134,0.10058463041587752,376.7793571736186,2.8444962733376187,0.42937322415384616
11,0.0003603595900659961,5226.958333333333,2.1100842698697297,0.7162529311380601,340.87705204101195,0.11054275872221216,489.2550065603918,3.092206965292147,0.4362885397222222
12,0.0004874073226303503,5192.696774193549,2.57388106333684,0.7364759668634081,387.41441066004444,0.08794572840252765,402.5820736543846,2.824632233878481,0.4168373639354839
13,0.00041997197849459643,4190.373831775701,2.3632585765820124,0.7543381960505623,334.6483237843068,0.08271405497433404,336.4148896527346,4.3017153001752035,0.3929223935514019
14,0.0004029390578307654,4737.852459016393,2.2494292929608584,0.7282888620084337,350.60193953117926,0.08995744071165951,383.5276226943583,3.1872960981884213,0.4045356772677595
15,0.0003928135160443285,4688.521126760564,2.413948790057402,0.7171038344802875,357.1978469367272,0.09095804148673828,367.8445285874957,3.2864658541584832,0.3850536474647887
16,0.0004976006777731812,4365.241758241758,2.201975692016271,0.7271189031365769,327.0817767246233,0.100236459822161,386.1271818607104,2.457310509801747,0.38231498406593406
17,0.00045482289641488087,5366.0192307692305,2.617090087302005,0.7394850467506067,402.7406458752384,0.0798020262711471,393.4794986883465,2.736909682776051,0.3697937334615385
18,0.00043038343045460664,5355.171597633136,2.3339228160212753,0.7361697926635686,363.68132718657864,0.09012957447410193,420.7362225699685,3.3666183850700926,0.43488157568047336
19,0.0004771694779703895,5617.714285714285,2.509239585417251,0.7406556108266807,403.23361180945204,0.08794598939769542,449.96843680832535,2.2981737870876136,0.39055340376623376
20,0.0003531055477861543,5710.840206185567,2.2071559862836856,0.7268276805296304,368.43120075925316,0.10902847552772406,547.1146302925827,2.5316943112834225,0.43414291541237116
21,0.00047094677038667695,6223.920353982301,2.7025299149337156,0.7258762440810411,429.70601019078106,0.08388212278968984,480.5683638438319,1.8647642479277164,0.4120558585840708
22,0.0007041448690896674,6050.11320754717,2.420733819105692,0.7274983518452363,397.96269472129023,0.09649927599694658,443.67851826019654,3.1293262471302974,0.3932754122075472
23,0.00040469206220506175,6165.775362318841,2.30487397294552,0.7505649400982476,401.65513544484963,0.08976071841491585,499.85343850252855,2.523358237361588,0.4000399098550725
24,0.0003033212065224272,5169.688888888889,2.5575123954461225,0.7280336769517267,395.6053083805878,0.08476393856451442,423.1563520698705,3.8818905327165214,0.32996204077777774
25,0.0002509116369202958,4394.338028169014,2.4040089264190336,0.7171979274899347,349.676204965932,0.10421676718989803,428.2085732888614,2.7821803675178365,0.3834062661126761
26,0.0004087669627524704,5963.0615384615385,2.6610100888534793,0.7088845537285197,421.410040213331,0.08413547866182702,466.3285807001619,2.7240534393884155,0.3660746687692308
27,0.0005297167503273999,6810.466101694915,2.4313126281404105,0.7315556881361033,432.82512963502865,0.0811478156262444,496.2747235234069,3.2437630709325664,0.3781947689830509
28,0.0005386536435119842,4822.703225806452,2.5980908836470475,0.7135488225950957,374.1039859088587,0.08731721400477765,333.69615151159945,3.665336465471562,0.40601906412903227
29,0.00036267714409825974,4183.745967741936,2.1701142897510155,0.7213271782267925,320.9628842466918,0.09469611214935623,360.25220803420376,4.324553869089508,0.4008309096370968
30,0.00046217330431725366,4801.939759036145,2.336472690376505,0.7464981983428643,358.15865318602454,0.08153305060728706,348.9046167789689,4.010853135090322,0.3943823341987952
